YearMonth,Booking_Shipper,BKG_Shipper_Code,POL_Sales,POL,CTR,POD,DLY,TEU,等級
2025-03,"EISHOU FREIGHT SHIPPING CO.,LTD.",EISJ33,HIGUCHI,NGO,NCN,SHA,SHA,1,C
2025-03,"EISHOU FREIGHT SHIPPING CO.,LTD.",EISJ33,HIGUCHI,MOJ,NCN,TAO,TAO,10,C
2025-03,"HANKYU HANSHIN EXPRESS CO.,LTD.(OSAKA)",HHEJ02,HIGUCHI,OSA,KR,PUS,PUS,7,C
2025-03,"HANO SYOTEN CO.,LTD.",HSTJ09,HIGUCHI,KMJ,KR,PUS,PUS,1,C
2025-03,KISWIRE CO.,KCXJ77,HIGUCHI,SDJ,KR,PUS,PUS,4,C
2025-03,KSA INTERNATIONAL,KIXJ07,HIGUCHI,OSA,KR,PUS,PUS,4,C
2025-03,"NIPPON EXPRESS CO.,LTD.MIZUSHIMA",MIZJ04,HIGUCHI,MIZ,ID,JKT,JKT,5,C
2025-03,NITTSU - NIIHAMA,NTTJ11,HIGUCHI,IYM,KR,PUS,PUS,2,C
2025-03,OCEAN LINKS LTD.,OLLJ01,HIGUCHI,TMK,HK,HKG,HKG,7,C
2025-03,OCEAN LINKS LTD.,OLLJ01,HIGUCHI,KIJ,PK,KHI,KHI,1,C
2025-03,"TOYOBO CO.,LTD.OSAKA,JAPAN",TCLJ33,HIGUCHI,TRG,KR,PUS,PUS,6,C
2025-03,TAISHIN CORPORATION,TISH00,HIGUCHI,UKB,HK,HKG,HKG,6,C
2025-03,ALPHA INTERNATIONAL CORPORATION,AICJ20,JPLOCAL,NGS,PH,MIP,MIP,1,C
2025-03,"AINOURA CANNING CO.,LTD.",AINJ00,JPLOCAL,IMI,HK,HKG,HKG,1,C
2025-03,"AINOURA CANNING CO.,LTD.",AINJ00,JPLOCAL,IMI,SG,SIN,SIN,1,C
2025-03,AOKI SEKIZAI,AOKJ04,JPLOCAL,MYJ,SCN,XMN,XMN,4,C
2025-03,ADVANCED MATERIAL JAPAN CORPORATION,AVMJ01,JPLOCAL,AXT,IN,NSA,NSA,1,C
2025-03,"BAY TREK CO.,LTD.",BAYJ02,JPLOCAL,KNZ,KR,PUS,PUS,6,C
2025-03,"CALFINE CO.,LTD.",CLFJ01,JPLOCAL,FKY,KR,INC,INC,3,C
2025-03,DAICEL CORPORATION,DCCJ06,JPLOCAL,NAO,TH,LCH,LCH,1,C
2025-03,"EHIME FOREIGN ACCESS ZONE CO.,LTD",EHFA01,JPLOCAL,MYJ,SG,SIN,SIN,1,C
2025-03,"EASTERN SUN CO.,LTD.",ESSJ00,JPLOCAL,IMI,KR,PUS,PUS,4,C
2025-03,GOOD TRADING INC.,GTIJ02,JPLOCAL,SBS,VN,SGN,SGN,2,C
2025-03,GOOD TRADING INC.,GTIJ02,JPLOCAL,SBS,VN,HPH,HPH,2,C
2025-03,GOOD TRADING INC.,GTIJ02,JPLOCAL,SBS,MY,PKW,PKW,2,C
2025-03,"HOKURIKU COLOR FOAM CO.,LTD.",HCFJ00,JPLOCAL,KNZ,TH,LCH,LCH,1,C
2025-03,"HAYASHI KASEI CO., LTD.",HKCJ02,JPLOCAL,FKY,KR,INC,INC,2,C
2025-03,"HAMOCO JAPAN CO.,LTD.",HMCJ23,JPLOCAL,THS,NCN,SHA,SHA,1,C
2025-03,"INABATA & CO.,LTD.",ICLJ34,JPLOCAL,IMB,MY,PKW,PKW,1,C
2025-03,IWAKI ONAHAMA CONTAINER SERVICE,IOCS01,JPLOCAL,ONA,TH,BKK,BKK,1,C
2025-03,"ISEKI & CO.,LTD. (MYJ)",ISEJ23,JPLOCAL,MYJ,ID,SUB,SUB,1,C
2025-03,ITOCHU PLASTICS INC.,ITPJ03,JPLOCAL,MIZ,NCN,SHA,SHA,1,C
2025-03,"ITSUKI FOODS CO.,LTD",ITUJ01,JPLOCAL,KMJ,TH,BKK,BKK,1,C
2025-03,"ITSUKI FOODS CO.,LTD",ITUJ01,JPLOCAL,KMJ,HK,HKG,HKG,2,C
2025-03,"IYOSUI CO.,LTD.",IYOJ00,JPLOCAL,MYJ,VN,SGN,SGN,2,C
2025-03,"JMS CO., LTD.",JCLJ06,JPLOCAL,HIJ,NCN,DLC,DLC,1,C
